Id	GroupId	Step	Desc	ShowClueGroupId	AnswerClue	AnswerTip	NormalWrongTip	SpWrongClues	SpWrongTips	Info
41000002	41000	2	万事是怎么与我认识的？	41002	4102	我在活祭仪式现场发现万事倒在那里。	不，这不是我和他结识的缘由。			我在和身为瘟疫医生的万事一起行动。
41000003	41000	3	万事与我签订契约的契机是？	41003	4103	万事差点成为卡尔克萨仪式的被害者，为了拯救他，我和他结下了血契。	这跟契约没有联系。	[4105]	['万事身上没有蝗虫造成的创伤。']	我在和身为瘟疫医生的万事一起行动。我们之所以相识，是我在活祭现场发现并且救下了万事。
42000001	42000	1	连环杀人案的死者死因是？	42001	4201	根据尸检记录，这些人都死于喉部放血。	这不是死者的死因。			仔细思考问题对应的线索吧。
42000002	42000	2	有没有什么东西能揭示凶手的身份？	42002	4202	放在祭坛上的木雕揭示了凶手的身份。	这不能直接指向凶手的身份。	[4205]	['药草在很多地方都能采到，应该还有更直接的证据。']	尸检记录显示，这些连环杀人案的死者都被划开喉咙，放血致死。
42000003	42000	3	这些案件之间有没有什么联系？	42003	4203	将案件的发生地在地图上逐一链接起来，似乎能组成一个巨大的五角星。	应该还有更直接的线索揭示凶手的目的。			尸检记录显示，这些连环杀人案的死者都被划开喉咙，放血致死。杀死他们的人和留下木雕的人，都应当是同一批部落民。
43000001	43000	1	这些活死人生前的身份是？	43001	4301	尸体身上共同的特殊徽记象征着他们的身份和信仰。	应该还有更直接的证据可以指向死者的身份。	[4304]	['很接近了，但光凭一个故事还不足以锁定他们的身份。']	仔细思考问题对应的线索吧。
43000002	43000	2	死者丧生于什么原因？	43002	4302	他们死于自尽，凶器是散落在地上的匕首。	不，应当现场就有更明显的凶器。	[4303]	['据万事所说，药草香中有致幻成分，但并不致死。']	这些活死人，生前都是部落民。
43000003	43000	3	现场是否有操办仪式之人的线索？	43003	4303	仍然有特殊的草药香弥散在四周，凶手应该还在附近。	不，应当还有一些更为直接的证据。	[4305]	['烬土边疆上没有人真的目睹过巨人现身，还是不要将传说故事考虑在内吧。']	这些活死人，生前都是部落民。他们甚至是出于自愿，为活祭仪式献上了生命。
51000001	51000	1	我在哪里与莉莉丝结识的？	51001	5101	莉莉丝赢过无数次人间的赌局，却因为意外栽在了圣堂的牌局上。	这不是相遇时的情况。			仔细思考问题对应的线索吧。
51000002	51000	2	莉莉丝参与的博弈是？	51002	5102	莉莉丝自称自己和拉斐尔夫人有血海深仇，但这背后似乎另有隐情。	莉莉丝当时没有参与这样的博弈。	[5104]	['她不会参与如此浅显的赌局。']	我曾在一场圣堂牌局结束后找到了濒死的莉莉丝。
51000003	51000	3	拉斐尔夫人和莉莉丝争夺的目标是？	51003	5103	莉莉丝似乎因为追查玛门财宝的下落被拉斐尔夫人灭口。	不，她们争夺的是别的事物。			我曾在一场圣堂牌局结束后找到了濒死的莉莉丝。她告诉我，她识破了天使长的出千而被灭口，但这背后似乎另有隐情。
52000001	52000	1	拉斐尔夫人近期的动向是？	52001	5201	拉斐尔夫人派手下在城镇中四处“回收”金币，挖掘线索，似乎另有所图。	这件事是他们所为的一部分，但不足以概况全部。	[5203]	['只有一部分天使在为此行动。']	仔细思考问题对应的线索吧。
52000002	52000	2	拉斐尔夫人的下一处目标是？	52002	5202	只要占有宝窟，似乎就能完成圣堂下达于拉斐尔夫人的使命。	这恐怕不能协助拉斐尔夫人完成目的。			拉斐尔夫人因为某个原因，必须占有玛门的宝藏。
52000003	52000	3	拉斐尔夫人为何还要安排手下反复来袭？	52003	5203	尽管已扫荡了不少钱财，但天使们仍对我们穷追不放，或许是别有所图。	这个理由还不够充分。			拉斐尔夫人因为某个原因，必须占有玛门的宝藏。无归城主座空缺，而她具有占据其中财富所需的钥匙。
53000001	53000	1	眼前的幻境由什么组成？	53001	5301	这些受困者乐此不疲地满足自己的愿望，甚至不愿离开幻境。	幻境中还有其它存在。	[5304]	['幻境中不止存在死物。']	仔细思考问题对应的线索吧。
53000002	53000	2	有没有离开幻境的线索？	53002	5302	顺着纸鹤前进，也许就能找到答案。	不，还有指向性更明确的事物。	[5305]	['滞留在此的人不仅不愿意走，甚至还在给我们当导游。']	受欲望所诱惑的人们在幻境之中徘徊。
53000003	53000	3	纸鹤是谁留下的？	53003	5303	放置这些纸鹤的，似乎是前任黄金之王。	应该能将答案缩小至特定的人。	[5306]	['这位创造者仍然留在幻境中。']	受欲望所诱惑的人们在幻境之中徘徊。路上留着很多白色的纸鹤，据无名幽灵所说，顺着纸鹤往前走就能找到离开幻境的方法。
61000001	61000	1	该由哪些人突袭圣堂？	61001	6101	己方最强战力构成精锐小队，不论是整备队伍还是实施突围都足够高效。	应该有更适合的战力。	[6104]	['规模庞大的军队不适合进行突袭作战。']	仔细思考问题对应的线索吧。
61000002	61000	2	突袭队伍如何登上圣堂？	61002	6102	驾驶地狱列车，快速接近圣堂。	这份支持不足以令我们登上圣堂。	[6103]	['这个想法未免过于异想天开了。']	由四骑士与灰鸦构成与圣堂决战的精锐小队。
61000003	61000	3	登上圣堂后，如何对战坐镇其中的“天使长”？	61003	6103	圣环巨炮通过发射银弹，可以对“天使长”造成致命伤。	这不一定能制造致命一击。	[6101]	['“瘟疫”与“饥荒”曾完成过类似壮举，但他们如今无法使用对应的力量。']	由四骑士与灰鸦构成与圣堂决战的精锐小队。通过驾驶地狱列车进入圣堂，随后展开战斗。
71000001	71000	1	当下身在何处？	71001	7101	看起来是涅缇娅利用她的双重权能，制造出的特殊世界。	应该有更明确地指出特殊之处的证据。			仔细思考问题对应的线索吧。
71000002	71000	2	涅缇娅想让我看到什么？	71002	7102	涅缇娅将她的回忆以幻境的形式展示在我面前，也许是希望我明白些什么。	此处远比梦境更清晰。			这个世界应当是由涅缇娅的回忆构建而成的。
71000003	71000	3	出口……在哪？	71003	7103	无形的边界将我困在了此处，看来现在必须按照涅缇娅的意愿行动。	或许应当将这里的特殊情况作为切入点。			这个世界应当是由涅缇娅的回忆构建而成的。\n她将自己的回忆以幻境的形式展示在我面前，也许是希望我明白些什么。
72000001	72000	1	在过去，涅缇娅是一个邪恶之人吗？	72001	7201	她曾无偿地教导孩子们，也因此与村民交好，这些行动不完全是伪善。	还有更多人对涅缇娅当时的行为做出过反应。	[7202]	['在当时的情境下，这反而是构建欲加之罪的道具。']	仔细思考问题对应的线索吧。
72000002	72000	2	在过去，涅缇娅是一个良善之人吗？	72002	7202	身为恶魔的她，在危机出现的时候，也呈现了凶暴的反应。	涅缇娅此时并未参与其中。			涅缇娅并非绝对的恶徒。
72000003	72000	3	在过去，是什么改变了她的灵魂？	72003	7203	那些曾在她生命中留下足迹的人类们，潜移默化地改变了她。	应该有更直接的影响因素。			涅缇娅并非绝对的恶徒，但也不是彻底的良善之人。
73000001	73000	1	灾变后，涅缇娅以什么为目标行动？	73001	7301	她想要成为新世界的神。	不，会有指向性更明确的线索。	[7305]	['现在看来，利用这个任务反而成了她实现目的的必要过程。']	仔细思考问题对应的线索吧。
73000002	73000	2	涅缇娅是为何走上这条道路的？	73002	7302	她想要一个绝对公平的世界。	这尚不足以塑造信念。	[7306]	['他俩之间倒不至于有如此强劲的信念与羁绊。']	涅缇娅想要成为新世界的神。
73000003	73000	3	为什么她对“绝对公平”的世界如此执着？	73003	7303	她曾尝试通过“模仿”来成为一个好人，但命运对此报予否定。	应该有与她的信念更相关的人或物。			涅缇娅想要成为新世界的神，并塑造一个绝对公平的世界。
