Id	Name	Description
31001	劫雷烙影	【深红囚影】的【燎荒斩】、【影袭】和【振雷斩】获得<color=#ffdd93>伤害加成</color>。【露西亚·深红囚影】的攻击有概率给敌人留下【伤痕】，【伤痕】最多存在5个，使用【燎荒斩】造成伤害时，会引爆全部【伤痕】降下<color=#ffdd93>落雷造成额外伤害</color>。
31002	残铭于烬	【深红囚影】的【剑气】与【剑气攻击】获得<color=#ffdd93>伤害加成</color>，释放【剑气攻击】时会治疗自身0.5%最大生命值，自身攻击命中带有【剑损烙印】的目标时，额外造成一次剑损伤害且不消耗【剑损烙印层数】，该效果每0.5秒最多触发一次。
31003	镣刃炙锋	【深红囚影】释放【溯轮杀】时获得抗打断。【溯轮杀】<color=#ffdd93>伤害加成</color>，<color=#ffdd93>伤害上限</color>提高。
31004	虚明归鞘	【深红囚影】释放【居合斩·极】时按住移动，则会释放【穿梭居合】返回释放起始位置。【居合斩·极】获得<color=#ffdd93>伤害加成</color>。
31005	零我寂深	【深红囚影】释放【乱霆开曜】时，获得的<color=#ffdd93>伤害加成</color>效果和<color=#ffdd93>额外伤害减免</color>效果提升。
31006	悬弧残痕	【深红囚影】释放【振雷斩】后会在地面留下裂痕，<color=#ffdd93>裂痕</color>会对范围内的目标每秒造成一次伤害，裂痕持续8秒。
31007	辉铠持护	【芒星之迹】格挡反击时，自身<color=#ffdd93>额外伤害减免</color>提高，格挡反击获得<color=#ffdd93>伤害加成</color>。在【剑盾状态】下进行完美格挡后，若【星芯值】已满，则可通过长按普攻释放【坠星崩殛】。
31008	引星偏振	【芒星之迹】在【盾斧状态】下自身获得抗打断，<color=#ffdd93>额外伤害减免</color>、<color=#ffdd93>失衡增益</color>提升。当敌人失衡后，15秒内获得<color=#ffdd93>伤害加成</color>，若自身处于<color=#ffdd93>【狂锯崩解】形态</color>时，该加成时长延续到60秒。
31009	喷流助推	【芒星之迹】释放【奔星突烁】时，提升【奔星突烁】技能的位移距离，且释放过程中增加格挡判定，可通过摇杆释放。
31010	寰辰增铓	【芒星之迹】释放【遥穹合斩】/【疾虹突刺】后的10秒内，自身获得【星芯值】、【超解值】和【锋锐值】的效率提升，获得<color=#ffdd93>伤害加成</color>。【遥穹合斩】/【疾虹突刺】的<color=#ffdd93>技能冷却</color>降低，释放【遥穹合斩】/【疾虹突刺】过程中自身获得抗打断和<color=#ffdd93>额外伤害减免</color>。
31011	聚循标弦	【芒星之迹】释放【金辉怒嚎】后，自身造成伤害时<color=#ffdd93>仇恨专注</color>提升；一段时间内，自身攻击被嘲讽敌人时，<color=#ffdd93>额外对敌人造成一次伤害</color>，该效果每秒最多生效一次。
31012	星图展开	【芒星之迹】在【剑盾】状态下进行第三段【游星辉击】时，点击【耀雷风暴】，可获得强化派生，并获得大量【锋锐值】。
31013	圣颂清愉	【极昼】的【颂奏层数】到达满层时，会强化下一次【长夜祈光】和【苍色穹壁】。强化后的【长夜祈光】和【苍色穹壁】将在治疗其他玩家同时，再<color=#ffdd93>额外为全体玩家恢复生命值</color>。
31014	福临敕断	【极昼】的【裁决辉迹II】若最后一段攻击命中敌人，则额外产生一次<color=#ffdd93>爆炸</color>，并获得两层【颂奏层数】。
31015	断罪绝罚	【极昼】在释放【赤染棘冠】后会进入【极昼状态】。
31016	祝圣启明	【极昼】释放【极昼宣誓】后自身获得<color=#ffdd93>治疗增益</color>，该治疗增益持续20秒；并释放一次【长夜祈光】。
31017	返身赦章	BOSS处于【暴怒状态】下释放高威胁技能时，会立刻刷新【苍色穹壁】，并获得12层【颂奏层数】。
31018	诵祷虔心	【极昼】在进入【极昼状态】后，【长夜祈光】、【苍色穹壁】和【赤染棘冠】冷却减少33%。
